,Å´ÉPÅ[ÉXñºÇì¸óÕ,å¯â uÅÉ1,å¯â 1ÅÖuÅÉ2,å¯â 2ÅÖuÅÉ3,å¯â 3ÅÖuÅÉ10,å¯â uÅÑ10
case1,case1-30-0-0-1-1-0-0-0-0-0.png,0,0,0,0,0
case2,case1-30-0-0-1-1-0-0-1-0-0.png,57.8,61.5,50,33.3,15.7
case3,case1-30-0-0-1-1-0-4-0-0-3.png,60.7,66.6,61.9,51.3,43.4
case4,case1-30-0-0-1-1-0-4-0-0-6.png,72.3,75.6,67.7,58.5,51.9
case5,case1-30-0-0-1-1-0-4-1-0-3.png,75.6,82.2,77.9,74.8,76.2
case6,case1-30-0-0-1-1-0-4-1-0-6.png,81.5,85.9,82.7,79.1,79.8
case7,case1-30-0-0-1-1-0-8-0-0-3.png,78.6,83.5,80.1,77.7,79
case8,case1-30-0-0-1-1-0-8-0-0-6.png,83.6,87.3,84.6,81.7,82.5
case9,case1-30-0-0-1-1-0-8-1-0-3.png,0,0,0,0,0
case10,case1-30-0-0-1-1-0-8-1-0-6.png,81.7,72.7,67.1,59.6,43.8
case11,case1-30-0-0-1-1-0-12-0-0-3.png,82.3,71,75,75,60.7
case12,case1-30-0-0-1-1-0-12-0-0-6.png,88.2,80.6,80.4,76.8,66
case13,case1-30-0-0-1-1-0-12-1-0-3.png,87.4,83.9,84.5,83.8,78.8
case14,case1-30-0-0-1-1-0-12-1-0-6.png,90.1,86.8,86.8,86.1,81.3
case15,case1-30-0-0-1-4-0-0-0-0-0.png,88.4,81,82.4,80.2,74.9
case16,case1-30-0-0-1-4-0-0-1-0-0.png,89.1,85,85.3,84.1,78.7
case17,case1-30-0-0-1-4-0-4-0-0-3.png,0,0,0,0,0
case18,case1-30-0-0-1-4-0-4-0-0-6.png,27.2,39.1,48.8,37.8,29
case19,case1-30-0-0-1-4-0-4-1-0-3.png,47.8,65.5,76,82.9,85.3
case20,case1-30-0-0-1-4-0-4-1-0-6.png,63.3,76.2,83.8,87.1,88.5
case21,case1-30-0-0-1-4-0-8-0-0-3.png,49,65.5,76.2,82.9,85.4
case22,case1-30-0-0-1-4-0-8-0-0-6.png,62.1,76.5,83.8,87.2,88.6
case23,case1-30-0-0-1-4-0-8-1-0-3.png,54,70.4,79.6,85.3,87.4
case24,case1-30-0-0-1-4-0-8-1-0-6.png,27.2,39.1,48.8,37.8,29
case25,case1-30-0-0-1-4-0-12-0-0-3.png,0,0,0,0,0
case26,case1-30-0-0-1-4-0-12-0-0-6.png,24.8,27.7,33.5,34.6,22.5
case27,case1-30-0-0-1-4-0-12-1-0-3.png,70.4,72.7,66.6,57.6,44
case28,case1-30-0-0-1-4-0-12-1-0-6.png,70.1,75.4,74.3,67.6,59.9
case29,case1-30-0-0-1-10-0-0-0-0-0.png,80.5,82.5,78.9,72.9,67.9
case30,case1-30-0-0-1-10-0-0-1-0-0.png,79.9,86.9,84.7,83.6,82.6
case31,case1-30-0-0-1-10-0-4-0-0-3.png,86.6,89.6,88.2,86.3,85.5
case32,case1-30-0-0-1-10-0-4-0-0-6.png,83.6,87.8,86.3,85.4,84.7
case33,case1-30-0-0-1-10-0-4-1-0-3.png,87.6,90.6,89.3,88,87.4
case34,case1-30-0-0-1-10-0-4-1-0-6.png,0,0,0,0,0
case35,case1-30-0-0-1-10-0-8-0-0-3.png,-1.5,0.4,1,5.1,9
case36,case1-30-0-0-1-10-0-8-0-0-6.png,82.6,73.5,68.9,57.3,50.1
case37,case1-30-0-0-1-10-0-8-1-0-3.png,82.1,70.6,74.4,74.8,64.5
case38,case1-30-0-0-1-10-0-8-1-0-6.png,88.2,80.8,80.6,77.6,69.5
case39,case1-30-0-0-1-10-0-12-0-0-3.png,87,84.4,84,83.8,80.6
case40,case1-30-0-0-1-10-0-12-0-0-6.png,89.6,86.5,86.9,86,83.1
case41,case1-30-0-0-1-10-0-12-1-0-3.png,88.6,81.7,81.6,80.3,77.2
case42,case1-30-0-0-1-10-0-12-1-0-6.png,88.8,85.1,85.3,84.2,80.6
case43,case1-30-0-0-2-1-0-0-0-0-0.png,0,0,0,0,0
case44,case1-30-0-0-2-1-0-0-1-0-0.png,-2.7,-4.4,-4.8,-4.1,1.1
case45,case1-30-0-0-2-1-0-4-0-0-3.png,27.2,38.4,46.9,36.3,28.6
case46,case1-30-0-0-2-1-0-4-0-0-6.png,51.5,64.3,74.8,82.1,85.1
case47,case1-30-0-0-2-1-0-4-1-0-3.png,60.1,74.1,82.2,86.7,88.5
case48,case1-30-0-0-2-1-0-4-1-0-6.png,52.5,64.2,74.9,82.2,85.2
case49,case1-30-0-0-2-1-0-8-0-0-3.png,61.1,74.1,82.2,86.6,88.5
case50,case1-30-0-0-2-1-0-8-0-0-6.png,56.5,68.6,78.2,84.6,87.3
case51,case1-30-0-0-2-1-0-8-1-0-3.png,64.4,77,84.7,88.4,90
case52,case1-30-0-0-2-1-0-8-1-0-6.png,61.2,68.3,63.5,53.9,51.6
case53,case1-30-0-0-2-1-0-12-0-0-3.png,72.5,76.2,68.8,60.6,56.4
case54,case1-30-0-0-2-1-0-12-0-0-6.png,76.3,82.9,78.7,76.2,77.5
case55,case1-30-0-0-2-1-0-12-1-0-3.png,81.4,86,83.2,80.1,81
case56,case1-30-0-0-2-1-0-12-1-0-6.png,79.3,83.9,80.7,78.9,80.6
case57,case1-30-0-0-2-4-0-0-0-0-0.png,83.3,87.3,84.8,82.3,83.7
case58,case1-30-0-0-2-4-0-0-1-0-0.png,82.9,72.5,76.4,75.3,65
case59,case1-30-0-0-2-4-0-4-0-0-3.png,88.6,80.4,80.9,78.1,69.4
case60,case1-30-0-0-2-4-0-4-0-0-6.png,87.4,84.2,85.1,84.5,80
case61,case1-30-0-0-2-4-0-4-1-0-3.png,90,86.9,87.3,86.6,83.3
case62,case1-30-0-0-2-4-0-4-1-0-6.png,89.3,81.4,83.1,81.7,76.8
case63,case1-30-0-0-2-4-0-8-0-0-3.png,89.5,84.9,85.9,85,80.4
case64,case1-30-0-0-2-4-0-8-0-0-6.png,88.2,86.8,89.1,89.5,87.6
case65,case1-30-0-0-2-4-0-8-1-0-3.png,91.4,90.7,92.4,91.9,90.1
case66,case1-30-0-0-2-4-0-8-1-0-6.png,88.1,86.7,89.1,89.6,87.7
case67,case1-30-0-0-2-4-0-12-0-0-3.png,61.7,76.6,84.1,87.7,89.2
case68,case1-30-0-0-2-4-0-12-0-0-6.png,53.5,71,80.6,86.4,88.4
case69,case1-30-0-0-2-4-0-12-1-0-3.png,65.6,80,86.4,89.7,90.9
case70,case1-30-0-0-2-4-0-12-1-0-6.png,72.8,76.7,75.6,69.6,64.1
case71,case1-30-0-0-2-10-0-0-0-0-0.png,80.7,82.8,79.3,74.8,69.7
