,Å´ÉPÅ[ÉXñºÇì¸óÕ,å¯â uÅÉ1,å¯â 1ÅÖuÅÉ2,å¯â 2ÅÖuÅÉ3,å¯â 3ÅÖuÅÉ10,å¯â uÅÑ10
case1,case1-30-0-0-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case2,case1-30-0-0-1-2-0-0-1-0-0,45.07,39.12,37.65,26.41,12.54
case3,case1-30-0-0-1-2-0-4-0-0-3,46.36,44.58,39.92,25.05,12.01
case4,case1-30-0-0-1-2-0-4-1-0-3,66.24,62.54,59.54,39.66,26.17
case5,case1-30-0-0-1-2-0-8-0-0-3,65.73,65.16,65.58,67.67,64.21
case6,case1-30-0-0-1-2-0-8-1-0-3,77.55,75.83,74.89,74.38,71.14
case7,case1-30-0-0-1-2-0-12-0-0-3,71.78,71.17,71.50,73.38,74.10
case8,case1-30-0-0-1-2-0-12-1-0-3,80.99,79.57,78.75,77.45,77.62
case9,case1-30-0-0-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case10,case1-30-0-0-1-8-0-0-1-0-0,23.97,28.36,30.01,32.13,31.98
case11,case1-30-0-0-1-8-0-4-0-0-3,24.64,25.75,22.60,20.14,17.70
case12,case1-30-0-0-1-8-0-4-1-0-3,39.89,43.24,44.70,44.30,40.94
case13,case1-30-0-0-1-8-0-8-0-0-3,40.30,40.11,39.87,36.80,36.49
case14,case1-30-0-0-1-8-0-8-1-0-3,51.05,53.03,55.56,55.41,55.22
case15,case1-30-0-0-1-8-0-12-0-0-3,47.09,47.33,47.75,45.96,45.67
case16,case1-30-0-0-1-8-0-12-1-0-3,56.26,57.88,60.10,60.84,60.76
case17,case1-30-0-0-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case18,case1-30-0-0-2-2-0-0-1-0-0,64.77,61.83,58.90,48.37,35.90
case19,case1-30-0-0-2-2-0-4-0-0-3,58.25,61.01,56.78,47.60,35.81
case20,case1-30-0-0-2-2-0-4-1-0-3,80.26,78.08,73.66,60.48,47.03
case21,case1-30-0-0-2-2-0-8-0-0-3,69.15,71.41,72.65,74.25,60.80
case22,case1-30-0-0-2-2-0-8-1-0-3,84.53,83.29,81.45,78.47,69.50
case23,case1-30-0-0-2-2-0-12-0-0-3,75.58,76.11,75.13,71.08,55.49
case24,case1-30-0-0-2-2-0-12-1-0-3,85.70,84.12,80.16,76.24,68.17
case25,case1-30-0-0-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case26,case1-30-0-0-2-8-0-0-1-0-0,49.27,56.15,57.30,59.00,55.96
case27,case1-30-0-0-2-8-0-4-0-0-3,43.53,40.79,39.62,40.91,38.59
case28,case1-30-0-0-2-8-0-4-1-0-3,63.49,67.46,68.33,68.34,63.37
case29,case1-30-0-0-2-8-0-8-0-0-3,50.58,50.86,47.13,47.28,46.03
case30,case1-30-0-0-2-8-0-8-1-0-3,68.39,70.85,72.18,72.28,68.96
case31,case1-30-0-0-2-8-0-12-0-0-3,58.81,61.04,58.35,57.33,55.10
case32,case1-30-0-0-2-8-0-12-1-0-3,73.01,74.54,75.62,75.24,69.24
case33,case1-30-0-0-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case34,case1-30-0-0-3-2-0-0-1-0-0,30.51,32.68,39.53,35.79,25.39
case35,case1-30-0-0-3-2-0-4-0-0-3,41.55,52.23,63.99,73.34,77.39
case36,case1-30-0-0-3-2-0-4-1-0-3,55.75,68.80,72.40,78.80,81.20
case37,case1-30-0-0-3-2-0-8-0-0-3,42.92,52.42,64.34,73.65,77.55
case38,case1-30-0-0-3-2-0-8-1-0-3,55.80,68.68,72.66,78.64,81.26
case39,case1-30-0-0-3-2-0-12-0-0-3,49.80,59.79,69.57,77.49,81.11
case40,case1-30-0-0-3-2-0-12-1-0-3,60.88,73.59,76.52,81.73,84.24
case41,case1-30-0-0-3-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case42,case1-30-0-0-3-8-0-0-1-0-0,9.22,49.11,56.42,53.27,36.32
case43,case1-30-0-0-3-8-0-4-0-0-3,1.96,36.90,42.84,55.36,57.96
case44,case1-30-0-0-3-8-0-4-1-0-3,15.24,57.99,65.68,69.49,67.85
case45,case1-30-0-0-3-8-0-8-0-0-3,39.13,36.16,44.11,55.56,57.80
case46,case1-30-0-0-3-8-0-8-1-0-3,40.37,60.42,66.87,70.13,68.36
case47,case1-30-0-0-3-8-0-12-0-0-3,40.03,44.29,51.33,63.38,63.84
case48,case1-30-0-0-3-8-0-12-1-0-3,42.18,64.70,69.10,72.46,72.31
case49,case1-30-0-1-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case50,case1-30-0-1-1-2-1-0-0-0-0,24.56,31.02,32.22,31.00,20.93
case51,case1-30-0-1-1-2-1-0-1-0-0,62.87,59.31,58.46,49.28,31.11
case52,case1-30-0-1-1-2-1-4-0-0-3,58.40,61.83,59.24,48.31,30.24
case53,case1-30-0-1-1-2-1-4-1-0-3,76.78,74.52,72.67,58.49,41.99
case54,case1-30-0-1-1-2-1-8-0-0-3,73.47,75.86,76.23,77.55,71.52
case55,case1-30-0-1-1-2-1-8-1-0-3,84.32,83.23,82.89,82.11,77.23
case56,case1-30-0-1-1-2-1-12-0-0-3,77.76,80.26,80.25,81.47,79.32
case57,case1-30-0-1-1-2-1-12-1-0-3,86.40,85.93,85.40,84.25,82.22
case58,case1-30-0-1-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case59,case1-30-0-1-1-8-1-0-0-0-0,18.13,21.82,23.81,21.66,14.68
case60,case1-30-0-1-1-8-1-0-1-0-0,40.53,44.95,47.67,47.81,42.53
case61,case1-30-0-1-1-8-1-4-0-0-3,39.29,41.98,41.26,37.76,29.85
case62,case1-30-0-1-1-8-1-4-1-0-3,53.30,56.23,58.78,57.13,50.06
case63,case1-30-0-1-1-8-1-8-0-0-3,50.54,52.95,54.27,50.88,46.03
case64,case1-30-0-1-1-8-1-8-1-0-3,61.85,63.63,66.60,65.62,62.27
case65,case1-30-0-1-1-8-1-12-0-0-3,55.96,58.39,60.29,57.81,53.76
case66,case1-30-0-1-1-8-1-12-1-0-3,65.23,67.21,69.87,69.64,66.80
case67,case1-30-0-1-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case68,case1-30-0-1-2-2-1-0-0-0-0,4.01,2.16,2.90,1.54,0.65
case69,case1-30-0-1-2-2-1-0-1-0-0,70.70,64.99,61.36,49.10,36.28
case70,case1-30-0-1-2-2-1-4-0-0-3,59.71,61.49,57.66,48.18,36.27
case71,case1-30-0-1-2-2-1-4-1-0-3,82.78,79.39,74.49,61.37,47.95
case72,case1-30-0-1-2-2-1-8-0-0-3,71.45,72.23,73.49,74.60,61.13
case73,case1-30-0-1-2-2-1-8-1-0-3,86.63,84.51,82.12,78.79,70.26
case74,case1-30-0-1-2-2-1-12-0-0-3,77.55,76.52,75.76,71.34,55.82
case75,case1-30-0-1-2-2-1-12-1-0-3,89.40,84.69,80.80,76.63,68.92
case76,case1-30-0-1-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case77,case1-30-0-1-2-8-1-0-0-0-0,0.65,0.66,1.52,1.17,0.92
case78,case1-30-0-1-2-8-1-0-1-0-0,55.33,57.24,58.57,59.62,56.34
case79,case1-30-0-1-2-8-1-4-0-0-3,46.34,40.89,40.48,41.36,38.92
case80,case1-30-0-1-2-8-1-4-1-0-3,69.13,68.16,69.09,68.76,63.59
case81,case1-30-0-1-2-8-1-8-0-0-3,52.82,50.98,47.88,47.55,46.35
case82,case1-30-0-1-2-8-1-8-1-0-3,73.18,71.57,72.97,72.74,69.34
case83,case1-30-0-1-2-8-1-12-0-0-3,59.82,60.66,58.87,57.60,55.35
case84,case1-30-0-1-2-8-1-12-1-0-3,77.23,75.00,76.25,75.66,69.43
case85,case1-30-0-1-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case86,case1-30-0-1-3-2-1-0-0-0-0,3.15,0.49,-0.42,-0.19,-0.16
case87,case1-30-0-1-3-2-1-0-1-0-0,32.20,33.85,39.65,35.94,26.54
case88,case1-30-0-1-3-2-1-4-0-0-3,42.44,51.77,63.95,73.30,77.36
case89,case1-30-0-1-3-2-1-4-1-0-3,56.43,67.00,72.52,78.75,81.20
case90,case1-30-0-1-3-2-1-8-0-0-3,42.95,51.95,64.22,73.56,77.51
case91,case1-30-0-1-3-2-1-8-1-0-3,56.71,67.04,72.65,78.57,81.24
case92,case1-30-0-1-3-2-1-12-0-0-3,49.08,59.28,69.61,77.43,81.05
case93,case1-30-0-1-3-2-1-12-1-0-3,61.67,72.33,76.75,81.69,84.24
case94,case1-30-0-1-3-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case95,case1-30-0-1-3-8-1-0-0-0-0,-87.58,3.12,3.04,0.62,-0.05
case96,case1-30-0-1-3-8-1-0-1-0-0,-27.96,51.77,53.58,52.59,37.07
case97,case1-30-0-1-3-8-1-4-0-0-3,-79.80,33.52,42.44,55.30,56.78
case98,case1-30-0-1-3-8-1-4-1-0-3,-25.45,58.56,64.39,68.49,67.61
case99,case1-30-0-1-3-8-1-8-0-0-3,-69.03,29.19,41.55,55.26,56.85
case100,case1-30-0-1-3-8-1-8-1-0-3,-13.86,58.16,63.74,68.63,67.89
case101,case1-30-0-1-3-8-1-12-0-0-3,-64.86,33.35,48.08,61.71,63.04
case102,case1-30-0-1-3-8-1-12-1-0-3,-12.48,60.81,66.18,71.10,71.66
case103,case1-30-1-0-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case104,case1-30-1-0-1-2-0-0-1-0-0,45.65,38.38,39.50,42.50,46.46
case105,case1-30-1-0-1-2-0-4-0-0-3,44.44,43.55,42.68,40.01,36.29
case106,case1-30-1-0-1-2-0-4-1-0-3,64.55,63.46,62.17,63.02,62.91
case107,case1-30-1-0-1-2-0-8-0-0-3,64.08,63.62,63.89,64.97,63.38
case108,case1-30-1-0-1-2-0-8-1-0-3,75.82,75.85,75.45,76.23,77.01
case109,case1-30-1-0-1-2-0-12-0-0-3,72.05,71.73,71.78,72.87,73.28
case110,case1-30-1-0-1-2-0-12-1-0-3,81.42,81.42,81.36,81.81,82.45
case111,case1-30-1-0-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case112,case1-30-1-0-1-8-0-0-1-0-0,25.68,29.56,33.16,37.18,42.09
case113,case1-30-1-0-1-8-0-4-0-0-3,23.56,25.71,25.57,23.76,23.77
case114,case1-30-1-0-1-8-0-4-1-0-3,39.96,42.85,46.69,49.36,53.00
case115,case1-30-1-0-1-8-0-8-0-0-3,37.24,37.68,40.13,39.50,38.66
case116,case1-30-1-0-1-8-0-8-1-0-3,48.95,52.23,55.07,58.18,60.74
case117,case1-30-1-0-1-8-0-12-0-0-3,44.94,46.16,47.49,47.83,47.07
case118,case1-30-1-0-1-8-0-12-1-0-3,54.40,57.19,59.81,63.08,65.63
case119,case1-30-1-0-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
